n,time
101,8
103,2
107,1
109,2
113,1
127,2
131,1
137,2
139,2
149,2
151,1
157,2
163,1
167,2
173,2
179,2
181,2
191,2
193,2
197,2
199,2
1009,4
1013,3
1019,4
1021,4
1031,13
1033,4
1039,4
1049,4
1051,4
1061,3
1063,4
1069,3
1087,4
1091,4
1093,4
1097,4
10007,11
10009,11
10037,11
10039,11
10061,11
10067,11
10069,11
10079,11
10091,11
10093,12
10099,11
100003,34
100019,34
100043,34
100049,34
100057,34
100069,34
1000003,106
1000033,102
1000037,113
1000039,123
1000081,113
1000099,102
10000019,324
10000079,336
100000007,1051
100000037,1050
100000039,1054
100000049,1005
100000073,961
100000081,1009
1000000007,3103
1000000009,3111
1000000021,3123
1000000033,3269
1000000087,2982
1000000093,3092
1000000097,3251
